segment,start,end,symbol,timeframe,profile_name,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,total_commission,skipped_trades,partial_size_trades,signals,trade_csv,diagnostics
segment_2023_h2,2023-07-01,2023-12-31,WTICO_USD,4h,wtico_usd_4h,19,0.2631578947368421,0.343478947368421,0.343478947368421,2.252778684276198,-2.4015000000000004,2.796502,1.031373,0.0,0,0,19,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\WTICO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h2,2023-07-01,2023-12-31,BCO_USD,4h,bco_usd_4h,19,0.2631578947368421,0.038594736842105265,0.038594736842105265,1.1325368710237131,-1.9593,2.331057,-0.05368499999999954,0.0,0,0,19,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\BCO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h2,2023-07-01,2023-12-31,XAG_USD,4h,xag_usd_4h,21,0.5238095238095238,0.9622380952380954,0.9622380952380954,5.712233571195374,-1.3049999999999997,0.44835,4.018770999999999,0.0,0,0,21,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\XAG_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 21}"
segment_2023_h2,2023-07-01,2023-12-31,XAU_USD,4h,xau_usd_4h,18,0.2777777777777778,0.19632222222222223,0.19632222222222223,1.4844538275937706,-3.0609,46.768371,19.959785999999998,0.0,0,0,18,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\XAU_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 18}"
segment_2023_h2,2023-07-01,2023-12-31,UK100_GBP,4h,uk100_gbp_4h,3,0.6666666666666666,3.8119,3.8119,12.4357,0.0,0.0,232.972891,0.0,0,0,3,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\UK100_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 3}"
segment_2023_h2,2023-07-01,2023-12-31,NAS100_USD,4h,nas100_usd_4h,1,1.0,12.6813,12.6813,999.0,0.0,0.0,457.6,0.0,0,0,1,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\NAS100_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 1}"
segment_2023_h2,2023-07-01,2023-12-31,US30_USD,4h,us30_usd_4h,1,0.0,-1.0,-1.0,0.0,0.0,0.0,-12.706507,0.0,0,0,1,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\US30_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 1}"
segment_2023_h2,2023-07-01,2023-12-31,SPX500_USD,4h,spx500_usd_4h,5,0.0,-0.8805799999999999,-0.8805799999999999,0.0,-3.4029,37.237488,-46.837129999999995,0.0,0,0,5,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\SPX500_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 5}"
segment_2023_h2,2023-07-01,2023-12-31,FR40_EUR,4h,fr40_eur_4h,2,0.0,-1.0,-1.0,0.0,-1.0,50.197081,-140.829063,0.0,0,0,2,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\FR40_EUR_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 2}"
segment_2023_h2,2023-07-01,2023-12-31,JP225_USD,4h,jp225_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\packet_a\segment_2023_h2\JP225_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
