trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
WTICO_USD-4h-long-35:1,WTICO_USD,4h,wtico_usd_4h,long,2023-01-11 10:00:00+00:00,2023-01-11 14:00:00+00:00,2023-01-12 10:00:00+00:00,76.851,74.1758027411817,78.45699999999998,78.42199999999998,target,1.0,1.571,0.0,1.571,0.5872,0.020442,5,1,79,moderately_stretched,1.1346483921220074,1.6950000000000074,0.4704,1.74,normal,london,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-35
WTICO_USD-4h-long-64:2,WTICO_USD,4h,wtico_usd_4h,long,2023-01-18 02:00:00+00:00,2023-01-18 06:00:00+00:00,2023-01-18 10:00:00+00:00,81.39,79.13585527357178,83.92600000000002,81.262,trendline_invalidation,1.0,-0.128,0.0,-0.128,-0.0568,-0.001573,1,2,78,moderately_stretched,0.9142981761880894,0.6939999999999884,0.3274,1.54,normal,asia,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-64
WTICO_USD-4h-long-88:3,WTICO_USD,4h,wtico_usd_4h,long,2023-01-24 02:00:00+00:00,2023-01-24 06:00:00+00:00,2023-01-24 06:00:00+00:00,81.36399999999999,81.054708086424,83.70950000000002,81.019708086424,stop,1.0,-0.344292,0.0,-0.344292,-1.1132,-0.004232,0,1,84,normal,0.8419460905066762,0.3480000000000132,0.2937,3.68,normal,asia,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-88
WTICO_USD-4h-short-123:4,WTICO_USD,4h,wtico_usd_4h,short,2023-02-01 14:00:00+00:00,2023-02-01 18:00:00+00:00,2023-02-07 02:00:00+00:00,76.031,79.74946569735832,72.10250000000002,75.14,trendline_invalidation,1.0,0.891,0.0,0.891,0.2396,0.011719,20,1,88,moderately_stretched,1.1497713157221705,3.2040000000000077,0.5389,5.77,normal,london_new_york,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-123
WTICO_USD-4h-long-165:5,WTICO_USD,4h,wtico_usd_4h,long,2023-02-10 02:00:00+00:00,2023-02-10 06:00:00+00:00,2023-02-13 02:00:00+00:00,77.548,76.3091676992202,81.368,78.778,trendline_invalidation,1.0,1.23,0.0,1.23,0.9929,0.015861,5,1,82,normal,0.8722153385320064,0.47399999999998954,0.3499,2.44,normal,asia,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-165
WTICO_USD-4h-short-208:6,WTICO_USD,4h,wtico_usd_4h,short,2023-02-21 18:00:00+00:00,2023-02-21 22:00:00+00:00,2023-02-22 18:00:00+00:00,75.922,77.5915818450901,73.88199999999998,73.91699999999997,target,1.0,2.005,0.0,2.005,1.2009,0.026409,5,1,76,moderately_stretched,0.9038789672673122,1.141999999999996,0.3386,1.05,normal,new_york,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-208
WTICO_USD-4h-long-263:7,WTICO_USD,4h,wtico_usd_4h,long,2023-03-06 18:00:00+00:00,2023-03-06 22:00:00+00:00,2023-03-07 02:00:00+00:00,80.423,78.089395979029,84.768,80.654,trendline_invalidation,1.0,0.231,0.0,0.231,0.099,0.002872,1,1,80,moderately_stretched,0.9506934731399167,0.5849999999999937,0.3158,1.9,normal,new_york,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-263
WTICO_USD-4h-short-290:8,WTICO_USD,4h,wtico_usd_4h,short,2023-03-13 09:00:00+00:00,2023-03-13 13:00:00+00:00,2023-03-15 09:00:00+00:00,72.783,77.5819149393548,70.64833333333337,70.68333333333337,target,1.0,2.099667,0.0,2.099667,0.4375,0.028848,11,1,88,moderately_stretched,1.1660995956986961,4.126000000000005,0.4398,4.58,expanded,london,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-290
WTICO_USD-4h-short-316:9,WTICO_USD,4h,wtico_usd_4h,short,2023-03-17 01:00:00+00:00,2023-03-17 05:00:00+00:00,2023-03-17 09:00:00+00:00,69.046,69.5562216370508,62.019000000000005,69.5912216370508,stop,1.0,-0.545222,0.0,-0.545222,-1.0686,-0.007896,1,2,84,normal,1.4548109136720417,1.1970000000000027,0.3109,4.65,normal,asia,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-316
WTICO_USD-4h-long-384:10,WTICO_USD,4h,wtico_usd_4h,long,2023-04-03 13:00:00+00:00,2023-04-03 17:00:00+00:00,2023-04-04 13:00:00+00:00,80.499,78.72241035320152,84.565,79.99600000000001,trendline_invalidation,1.0,-0.503,0.0,-0.503,-0.2831,-0.006249,5,1,81,moderately_stretched,1.1705976453231761,1.2780000000000058,0.2542,2.13,expanded,london_new_york,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-384
