segment,start,end,symbol,timeframe,profile_name,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,total_commission,skipped_trades,partial_size_trades,signals,trade_csv,diagnostics
segment_2023_h1,2023-01-01,2023-06-30,WTICO_USD,4h,wtico_usd_4h,20,0.5,0.977805,0.977805,4.119343467372753,-3.605599999999999,4.157781,13.963204999999999,0.0,0,0,20,output\research\little_rzy_4h_baseline\segment_2023_h1\WTICO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 20}"
segment_2023_h1,2023-01-01,2023-06-30,BCO_USD,4h,bco_usd_4h,19,0.47368421052631576,0.6340526315789474,0.6340526315789474,2.8498556599717464,-3.6610999999999994,4.220076,8.227689000000002,0.0,0,0,19,output\research\little_rzy_4h_baseline\segment_2023_h1\BCO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h1,2023-01-01,2023-06-30,XAG_USD,4h,xag_usd_4h,13,0.23076923076923078,-0.11173846153846156,-0.11173846153846156,0.6870610539015037,-3.8029,1.301323,-0.758573,0.0,0,0,13,output\research\little_rzy_4h_baseline\segment_2023_h1\XAG_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 13}"
segment_2023_h1,2023-01-01,2023-06-30,UK100_GBP,4h,uk100_gbp_4h,4,0.5,1.9023999999999999,1.9023999999999999,9.20265171930581,-0.9277000000000006,34.30000000000001,378.2,0.0,0,0,4,output\research\little_rzy_4h_baseline\segment_2023_h1\UK100_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 4}"
segment_2023_h1,2023-01-01,2023-06-30,NAS100_USD,4h,nas100_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_baseline\segment_2023_h1\NAS100_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2023_h1,2023-01-01,2023-06-30,XAU_USD,4h,xau_usd_4h,14,0.2857142857142857,0.13986428571428575,0.13986428571428575,1.3546575863505461,-2.8362000000000003,32.26712,10.267883000000001,0.0,0,0,14,output\research\little_rzy_4h_baseline\segment_2023_h1\XAU_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 14}"
segment_2023_h2,2023-07-01,2023-12-31,WTICO_USD,4h,wtico_usd_4h,19,0.2631578947368421,0.343478947368421,0.343478947368421,2.252778684276198,-2.4015000000000004,2.796502,1.031373,0.0,0,0,19,output\research\little_rzy_4h_baseline\segment_2023_h2\WTICO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h2,2023-07-01,2023-12-31,BCO_USD,4h,bco_usd_4h,19,0.2631578947368421,0.038594736842105265,0.038594736842105265,1.1325368710237131,-1.9593,2.331057,-0.05368499999999954,0.0,0,0,19,output\research\little_rzy_4h_baseline\segment_2023_h2\BCO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h2,2023-07-01,2023-12-31,XAG_USD,4h,xag_usd_4h,21,0.5238095238095238,0.9622380952380954,0.9622380952380954,5.712233571195374,-1.3049999999999997,0.44835,4.018770999999999,0.0,0,0,21,output\research\little_rzy_4h_baseline\segment_2023_h2\XAG_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 21}"
segment_2023_h2,2023-07-01,2023-12-31,UK100_GBP,4h,uk100_gbp_4h,3,0.6666666666666666,3.8119,3.8119,12.4357,0.0,0.0,232.972891,0.0,0,0,3,output\research\little_rzy_4h_baseline\segment_2023_h2\UK100_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 3}"
